icao_code,name
CYLS,Barrie-Lake Simcoe Regional Airport
CYLT,Alert Airport
CYLU,Kangiqsualujjuaq (Georges River) Airport
CYLW,Kelowna International Airport
CYMA,Mayo Airport
CYME,Matane Airport
CYMG,Manitouwadge Airport
CYMH,Mary's Harbour Airport
CYMJ,Moose Jaw Air Vice Marshal C. M. McEwen Airport
CYML,Charlevoix Airport
CYMM,Fort McMurray Airport
CYMO,Moosonee Airport
CYMT,Chapais Airport
CYMU,Umiujaq Airport
CYMW,Maniwaki Airport
CYMX,Montreal International (Mirabel) Airport
CYNA,Natashquan Airport
CYNC,Wemindji Airport
CYND,Ottawa / Gatineau Airport
CYNE,Norway House Airport
CYNH,Hudson's Hope Airport
CYNJ,Langley Airport
CYNL,Points North Landing Airport
CYNM,Matagami Airport
CYNR,Fort Mackay / Horizon Airport
CYOA,Ekati Airport
CYOC,Old Crow Airport
CYOD,CFB Cold Lake
CYOH,Oxford House Airport
CYOJ,High Level Airport
CYOO,Oshawa Executive Airport
CYOP,Rainbow Lake Airport
CYOS,Owen Sound / Billy Bishop Regional Airport
CYOW,Ottawa Macdonald-Cartier International Airport
CYPA,Prince Albert Glass Field
CYPC,Paulatuk (Nora Aliqatchialuk Ruben) Airport
CYPD,Port Hawkesbury Airport
CYPE,Peace River Airport
CYPG,Portage-la-Prairie / Southport Airport
CYPH,Inukjuak Airport
CYPL,Pickle Lake Airport
CYPM,Pikangikum Airport
CYPN,Port-Menier Airport
CYPO,Peawanuck Airport
CYPQ,Peterborough Municipal Airport
CYPR,Prince Rupert Airport
CYPW,Powell River Airport
CYPX,Puvirnituq Airport
CYPY,Fort Chipewyan Airport
CYPZ,Burns Lake Airport
CYQA,Muskoka Airport
CYQB,Quebec Jean Lesage International Airport
CYQD,The Pas Airport
CYQF,Red Deer Regional Airport
CYQG,Windsor Airport
CYQH,Watson Lake Airport
CYQI,Yarmouth Airport
CYQK,Kenora Airport
CYQL,Lethbridge County Airport
CYQM,Greater Moncton Roméo LeBlanc International Airport
CYQN,Nakina Airport
CYQQ,Comox Valley Airport / CFB Comox
CYQR,Regina International Airport
CYQS,St Thomas Municipal Airport
CYQT,Thunder Bay Airport
CYQU,Grande Prairie Airport
CYQV,Yorkton Municipal Airport
CYQW,North Battleford Airport
CYQX,Gander International Airport / CFB Gander
CYQY,Sydney / J.A. Douglas McCurdy Airport
CYQZ,Quesnel Airport
CYRA,Rae Lakes Airport
CYRB,Resolute Bay Airport
CYRI,Rivière-du-Loup Airport
CYRJ,Roberval Airport
CYRL,Red Lake Airport
CYRM,Rocky Mountain House Airport
CYRO,Ottawa / Rockcliffe Airport
CYRQ,Trois-Rivières Airport
CYRS,Red Sucker Lake Airport
CYRT,Rankin Inlet Airport
CYRV,Revelstoke Airport
CYSB,Sudbury Airport
CYSC,Sherbrooke Airport
CYSD,Canadian Forces Base Suffield Heliport
CYSE,Squamish Airport
CYSF,Stony Rapids Airport
CYSH,Smiths Falls-Montague (Russ Beach) Airport
CYSJ,Saint John Airport
CYSK,Sanikiluaq Airport
CYSL,Saint-Léonard Airport
CYSM,Fort Smith Airport
